Price,zmw_usd,log_return
Ticker,ZMW=X,
Date,,
02/01/2015,6.388800144195557,0.00456524155808582
05/01/2015,6.348199844360352,-0.006375196
06/01/2015,6.386899948120117,0.006077725894278115
07/01/2015,6.461900234222412,0.011674418912987
08/01/2015,6.536900043487549,0.011539625184982
09/01/2015,6.51140022277832,-0.003908533
12/01/2015,6.434700012207031,-0.011849299
13/01/2015,6.4868998527526855,0.008079514154856384
14/01/2015,6.507500171661377,0.003170648298947237
15/01/2015,6.545100212097168,0.005761326223851574
16/01/2015,6.5081000328063965,-0.005669151
19/01/2015,6.424699783325195,-0.012897657
20/01/2015,6.377099990844727,-0.007436456
21/01/2015,6.513700008392334,0.02119420530098256
22/01/2015,6.43209981918335,-0.012606602
23/01/2015,6.400000095367432,-0.005003046
26/01/2015,6.330599784851074,-0.010903021
27/01/2015,6.3242998123168945,-0.000995658
28/01/2015,6.442699909210205,0.01854836594435249
29/01/2015,6.419300079345703,-0.003638603
30/01/2015,6.462299823760986,0.006676174458374448
02/02/2015,6.473700046539307,0.0017625581082188735
03/02/2015,6.492499828338623,0.0028998156984419627
04/02/2015,6.508200168609619,0.0024153080845320894
05/02/2015,6.552199840545654,0.006737900580064888
06/02/2015,6.543099880218506,-0.001389806
09/02/2015,6.523200035095215,-0.003045983
10/02/2015,6.521200180053711,-0.000306623
11/02/2015,6.532299995422363,0.001700665399278041
12/02/2015,6.599599838256836,0.010249915533968729
13/02/2015,6.611299991607666,0.0017712883392614742
16/02/2015,6.678500175476074,0.01011313274340792
17/02/2015,6.646500110626221,-0.004803021
18/02/2015,6.773600101470947,0.018942301356488795
19/02/2015,6.943900108337402,0.024830873608217417
20/02/2015,6.998700141906738,0.007860845864217432
23/02/2015,6.923699855804443,-0.01077415
24/02/2015,6.975299835205078,0.007425025917086974
25/02/2015,6.93310022354126,-0.006068238
26/02/2015,6.945300102233887,0.0017581106681880494
27/02/2015,6.928199768066406,-0.002465181
02/03/2015,6.853000164031982,-0.010913469
03/03/2015,6.839600086212158,-0.001957274
04/03/2015,6.964399814605713,0.018082168892870176
05/03/2015,6.924300193786621,-0.00577444
